latin_name,english_name,french_name,url,light_from,light_to,bloom_start,bloom_end,soil_humidity_min,soil_humidity_max,min_height,max_height,size,stratification_detail,stratification_duration,sowing_depth,sowing_period,sharing_priority,harvesting_start,harvesting_end,harvesting_indicator,harvesting_mean,seed_head,remove_non_seed_material,viability_test,seed_storage,one_cultivar,packaging_measure,dormancy,seed_preparation,hyperlink,envelope_label_link,harvesting_video_link,seed_picture_link,pods_seed_head_picture_link,seed_storage_label_info,notes,germinate_easy,rock_garden,rain_garden,pond_edge,shoreline_rehab,container_suitable,ground_cover,garden_edge,woodland_garden,wind_break_hedge,erosion_control
Cryptotaenia canadensis,Canada honewort ,Cryptoténie du Canada,https://www.prairiemoon.com/cryptotaenia-canadensis-honewort-prairie-moon-nursery.html,Full Shade,,6,9,Medium,,12,36,"1-3’ tall, 0.75-2’ wide",Cold moist 60d,60,,,1 - Give in priority,8,8,Seeds easily spring away from plant when you touch the pod,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,,https://docs.google.com/document/d/16gsUF5Tr0EVczrceJNBGf7BB_UaScG7uo6mH-QFxuHE/edit,https://www.youtube.com/watch?v=dUiq4DDuKC8,,,,,1,,,,,,,,,,
Cyperus lupulinus,Hop flatsedge ,Souchet petit-houblon,https://www.illinoiswildflowers.info/grasses/plants/sl_sandsedge.htm,Full Sun,Part Shade,8,9,Dry,Medium,6,24,0.5-2’ tall,Cold moist 60d,60,,,1 - Give in priority,10,11,Seeds are dark and dry,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,,,https://docs.google.com/document/d/18pcLLRg7am2yczuJnfEKBlIb_O9USILjx3qIzVzPWqc/edit?usp=sharing,,,,,,,,,,,,,,,,
Cyperus strigosus,Straw-coloured flatsedge ,Souchet hispide,https://minnesotawildflowers.info/grass-sedge-rush/straw-colored-flatsedge,Full Sun,Part Shade,7,,Medium,Wet,,30,Up to 2.5’ tall,,,,,"No thanks, we have enough already",8,9,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,,,https://docs.google.com/document/d/1MwvC2vwkw7jiMF-qUOEqCAoV1p4m_A2ub6mKzx4W9C4/edit?usp=sharing,,,,,,,,,,,,,,,,
Dalea purpurea,Purple prairie-clover,Dalée violette,https://www.prairiemoon.com/dalea-purpurea-purple-prairie-clover-prairie-moon-nursery.html,Full Sun,Part Shade,6,8,Dry,Medium,12,36,"1-3’ tall, 1-1.5’ wide",,,¼”,Late spring in warm soil,1 - Give in priority,8,10,Seeds easily fall off when you gently pull them off,Shake seed head in paper bag,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,scarify if not hulled,https://i0.wp.com/botanicallyinclined.org/wp-content/uploads/2019/01/Dalea-purpurea-Vent..jpg?fit=600%2C525&ssl=1,https://docs.google.com/document/d/1QodH8A0z5oevZDO-qQmzNih03_c-A4LI8PKd0YVzO5I/edit?usp=sharing,,,,,,,,,,,,,,,,
Desmodium canadense,Canada tick-trefoil ,Desmodie du Canada,https://www.prairiemoon.com/desmodium-canadense-showy-tick-trefoil-prairie-moon-nursery.html,Full Sun,Part Shade,7,8,Medium,,36,60,"3-5’ tall, 2-3’ wide",,,¼”,Late spring in warm soil,1 - Give in priority,8,9,Seeds easily fall off when you gently pull them off,Shake seed head in paper bag,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,scarify if not hulled,https://wildplantsfromseed.com/html/speciesdata.php?name=DESMODIUM%20CANADENSE,https://docs.google.com/document/d/1ugoscx5DEfTc7ERJWl_KQeAznkXWG1ZSNt_i4VEsSAY/edit?usp=sharing,,,,,,,,,,,,,,,,
Desmodium paniculatum,Panicled tick-trefoil ,Desmodie paniculée,https://www.illinoiswildflowers.info/savanna/plants/pn_tktrefoil.htm,Part Shade,Full Shade,7,9,Dry,Medium,36,36,3’ tall,,,¼”,Late spring in warm soil,1 - Give in priority,9,11,Seeds easily fall off when you gently pull them off,Shake seed head in paper bag,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,scarify if not hulled,,https://docs.google.com/document/d/1NUucW-AKZQ5I2HvNE5pNJ6KjWcerfeEhCbwAVvnVkY4/edit?usp=sharing,,,,,,,,,,,,,,,,
Diervilla lonicera,Northern bush-honeysuckle ,Dièreville chèvrefeuille,https://wildplantsfromseed.com/html/speciesdata.php?name=DIERVILLA%20LONICERA,Full Sun,Part Shade,6,7,Dry,Medium,24,36,"2-3’ tall, 2-4’ wide",Cold moist 90d,90,Surface,,1 - Give in priority,9,9,,,,,,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=DIERVILLA%20LONICERA,https://docs.google.com/document/d/1gijrj_ZEq10QBeX6HTVTJbmB0Hv2PmGy8YgARTNFEpM/edit?tab=t.0,,,,,Collect only fully ripe capsules that have become brown and relatively dry.,,,,,,,,,,,
Doellingeria umbellata,Flat-topped white aster,Aster à ombelles,https://www.prairiemoon.com/doellingeria-umbellata-flat-topped-aster,Full Sun,Part Shade,7,9,Medium,Wet,36,60,"3-5’ tall, 2-4’ wide",Cold moist 60d,60,,,"No thanks, we have enough already",9,9,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=DOELLINGERIA%20UMBELLATA,https://docs.google.com/document/d/1zey4kuzOiYUZLiNMYA8SU-C3V4a9Nk4SZaNsftibO-Q/edit,https://www.youtube.com/watch?v=lKS5rfTYjRY&t=2s,,,,,,,,,,,,,,,
Drymocallis arguta,Tall wood beauty ,Potentille âcre,https://www.prairiemoon.com/potentilla-arguta-prairie-cinquefoil-prairie-moon-nursery.html,Full Sun,Part Shade,6,9,Dry,Medium,,24,"2’ tall, 1-2’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",8,11,Pods are brown and slightly open,"Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1sQSF8EKykvXhbX5-rkcJ1nWLZPeZE-CkMYIqhoJGdp0/edit#,,,,,,1,,,,,,,,,,
Echinocystis lobata,Wild cucumber ,Concombre grimpant,https://www.prairiemoon.com/echinocystis-lobata-wild-cucumber-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Medium,Wet,240,360,20-30’ long,Cold moist 60d,60,½”,,1 - Give in priority,9,10,Pods are brown and slightly open,Shake seed head in paper bag,Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=ECHINOCYSTIS%20LOBATA,https://docs.google.com/document/d/127llqCCFnQhAHc2hAXtvIKrcHQMfyKxHPbbDBMfI07w/edit?usp=sharing,,,,,,,,,,,,,,,,
Elymus canadensis,Canada wild rye ,Élyme du Canada,https://www.prairiemoon.com/elymus-canadensis-canada-wild-rye-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Dry,Medium,24,60,"2-5’ tall, 2-3’ wide",,,Just below surface,Direct sow in late spring in warm soil,1 - Give in priority,9,10,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=ELYMUS%20CANADENSIS,https://docs.google.com/document/d/1LQOUBFUPBfQ2Moz0nSZzDSFIaVuh_h3B8pTMGzYUr-g/edit#,,,,,,,,,,,1,,,,,
Elymus hystrix,Bottlebrush grass,Élyme étalé,https://www.prairiemoon.com/elymus-hystrix-bottlebrush-grass-prairie-moon-nursery.html,Part Shade,Full Shade,6,8,Medium,,,36,"3’ tall, 1-1.5’ wide",,,⅛”,Late spring in warm soil,1 - Give in priority,8,9,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=ELYMUS%20HYSTRIX,https://docs.google.com/document/d/10LCHezlJwHIF_vWM_Zfon7F8ImxcD_scrX5vB1OKXQ8/edit,https://www.youtube.com/watch?v=2Wxe9pTDvvs,,,,,1,,,,,1,,,1,,
Elymus villosus,Downy wildrye,Élyme velu,https://www.prairiemoon.com/elymus-villosus-silky-wild-rye,Part Shade,Full Shade,6,8,Medium,,24,42,"2-3.5’ tall, 1-2’ wide",,,,Late spring in warm soil,1 - Give in priority,8,8,,,,,,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,,https://www.prairiemoon.com/elymus-villosus-silky-wild-rye,https://docs.google.com/document/d/1Sk4lDaOq07dKuvthG8jzcYV6G9DFn1bZE_2BCuxafvk/edit?usp=sharing,,,,,,,,,,,,,,,,
Elymus virginicus,Virginia wildrye ,Élyme de Virginie,https://www.prairiemoon.com/elymus-virginicus-virginia-wild-rye-prairie-moon-nursery.html,Full Sun,Part Shade,7,8,Medium,,24,48,"2-4’ tall, 1-2’ wide",,,Just below surface,Late spring in warm soil,"2 - Give us seeds in second priority, after donating priority 1 seeds first",9,10,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,,,https://docs.google.com/document/d/1N5Efjw65Lceril2kwnFLFCjyOdbLoLq5hQE1Kd-ze7w/edit?usp=sharing,,,,,,,,,,,,,,,,1
Epilobium ciliatum,Northern willowherb ,Épilobe cilié,https://plants.ces.ncsu.edu/plants/epilobium-ciliatum/,Full Sun,Part Shade,6,10,Medium,Wet,12,36,1-3’ tall,Cold moist 60d,60,Surface,,"No thanks, we have enough already",7,7,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",Six (6) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=EPILOBIUM%20CILIATUM,https://docs.google.com/document/d/1VRmQWKIy6vc_apLIsDMQPgx5__UuRo7B9kKZE6pWXJI/edit,https://www.youtube.com/watch?v=rQS-FA74nrc&t=4s,,,,,,,,,,,,,,,
Eragrostis spectabilis,Purple lovegrass ,Éragrostide brillante,https://www.prairiemoon.com/eragrostis-spectabilis-purple-love-grass-prairie-moon-nursery.html,Full Sun,,7,8,Dry,Medium,12,24,"1-2’ tall, 1-2’ wide",,,Surface,Late spring in warm soil,1 - Give in priority,9,9,Seeds are dark and dry,Use hand to detach from main stem,Head,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",Six (6) seeds (eyeball),,,,https://docs.google.com/document/d/1yecubBK5i1sA1e0zyxVI35y5eXms03mLDPND4lXMwjU/edit,,,,,,1,1,,,,,,,,,
Erigeron annuus,Annual fleabane,Vergerette annuelle,https://www.prairiemoon.com/erigeron-annuus-daisy-fleabane,Full Sun,Part Shade,6,7,Medium,,12,36,1-3’ tall,,,Just below surface,Late spring in warm soil,"No thanks, we have enough already",8,9,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,,https://docs.google.com/document/d/1GoelNh5mfv4I_tVdz58dZy-CoDuOw1XuY7rMbM3I6To/edit,https://youtube.com/shorts/-vW2dwd_av0?si=XWjEzIpkyeNn6clN,,,,,1,,,,,,,,,,
Erigeron philadelphicus,Philadelphia fleabane ,Vergerette de Philadelphie,https://www.minnesotawildflowers.info/flower/philadelphia-fleabane,Full Sun,,4,6,Dry,Medium,24,30,"2-2.5’ tall, 1-1.5’ wide",,,Surface,Late spring in warm soil,"2 - Give us seeds in second priority, after donating priority 1 seeds first",6,9,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,,,https://docs.google.com/document/d/1l6BlSVW4-y6slTdnVM51wzmTAgGm__3_9sVuHfwKdHk/edit#,https://youtube.com/shorts/-vW2dwd_av0?si=XWjEzIpkyeNn6clN,,,,,1,,,,,,,,,,
Erigeron pulchellus,Robin's-plantain fleabane,Vergerette délicate,https://www.prairiemoon.com/erigeron-pulchellus-robins-plantain-prairie-moon-nursery.html,Full Sun,Part Shade,6,7,Dry,Medium,18,24,"1.5-2’ tall, 1.5-2’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",8,9,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,,,https://docs.google.com/document/d/16zIlUeYBKeY8udb6CD3PSDodelvaCESeHtHcPkgUb6U/edit,https://youtube.com/shorts/-vW2dwd_av0?si=XWjEzIpkyeNn6clN,,,,,1,,,,,,,,,,
Erigeron strigosus,Rough fleabane ,Vergerette rude,https://illinoiswildflowers.info/prairie/plantx/ds_fleabanex.htm,Full Sun,Part Shade,6,9,Dry,Medium,12,36,1-3’ tall,,,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",7,8,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,,https://docs.google.com/document/d/17kNiEq54b2Y3-axJ9-b4HaJBx82SD56Wn4Jygu_TncQ/edit#heading=h.apeixhfw30h2,https://youtube.com/shorts/-vW2dwd_av0?si=XWjEzIpkyeNn6clN,,,,,1,,,,,1,,,,,
Eupatorium altissimum,Tall boneset ,Eupatoire élevée,https://www.prairiemoon.com/eupatorium-altissimum-tall-boneset-prairie-moon-nursery.html,Full Sun,Part Shade,8,10,Dry,Medium,24,60,"2-6’ tall, 2-3’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",7,9,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/15NEUuOppYoYMaLJUbh_Dmwr_gaBMYOVRmcYQEYDj008/edit?usp=sharing,https://youtube.com/shorts/9-fJeEHtauI?si=oiq1yO0oRCMDM_58,,,,Same way to harvest as Eupatorium perfoliatum,,,,,,,,,,,
Eupatorium perfoliatum,Common boneset,Eupatoire perfoliée,https://www.prairiemoon.com/eupatorium-perfoliatum-boneset-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Medium,Wet,48,60,"4-6’ tall, 3-4’ wide",Cold moist 30d,30,Surface,,"No thanks, we have enough already",9,9,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=EUPATORIUM%20PERFOLIATUM,https://docs.google.com/document/d/1X2coFdvFRnnQRIIGp0ARTtM-vF1fm1sa9jh5qhmmMvM/edit,https://youtube.com/shorts/9-fJeEHtauI?si=oiq1yO0oRCMDM_58,,,,,,,,,,,,,,,
Eurybia divaricata,White wood aster ,Aster à rameaux étalés,https://www.prairiemoon.com/eurybia-divaricata-white-wood-aster,Part Shade,,8,9,Medium,,,24,"2’ tall, 2-3’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",10,11,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1b9Ru282qv_J-A4f7N7DNCEvUSy9Dhz5Iq2g06faffKg/edit?usp=sharing,,,,,,1,,,,,,,,,,
Eurybia macrophylla,Large-leaved aster,Aster à grandes feuilles,https://www.prairiemoon.com/eurybia-macrophylla-big-leaved-aster,Part Shade,Full Shade,9,10,Dry,Medium,24,48,"2-4’ tall, 2-4’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",9,9,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,,https://docs.google.com/document/d/1Uadccx24384rcSzCEgT4DQXJvS5ijDskMGxtOWinmVo/edit?usp=sharing,,,,,,1,,,,,,1,,,,
Euthamia graminifolia,Grass-leaved goldenrod,Verge d'or à feuilles de graminée,https://www.prairiemoon.com/solidago-graminifolia-grass-leaved-goldenrod-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Dry,Medium,36,36,"3-6’ tall, 1-2’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",10,11,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,,https://docs.google.com/document/d/1V8ENj6wzqjL4OJuRviCa_DvBzOrG-u4QdRThxFOcOBs/edit,https://youtube.com/shorts/WHsszIyarBo?si=VkqfmL5w0AjWzoN8,,,,,,,,,,,,,,,
Eutrochium maculatum,Spotted Joe Pye weed,Eupatoire maculée,https://www.prairiemoon.com/eupatorium-maculatum-joe-pye-weed-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Medium,Wet,48,84,"4-7’ tall, 3-4’ wide",Cold moist 30d,30,Surface,,"No thanks, we have enough already",8,8,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=EUTROCHIUM%20MACULATUM,https://docs.google.com/document/d/1g-ODSOva2bKtcuzpYpJLuQlxXdJ7kSOmQ5-2jJ7ud1w/edit,https://www.youtube.com/watch?v=oivyM1_Pia4,,,,,1,,,,,,,,,,
Eutrochium purpureum,Purple Joe-Pye-weed,Eupatoire pourpre,https://www.prairiemoon.com/eupatorium-purpureum-sweet-joe-pye-weed-prairie-moon-nursery.html,Part Shade,Full Shade,7,9,Medium,,60,84,"5-7’ tall, 2-4’ wide",Cold moist 30d,30,Just below surface,,1 - Give in priority,8,8,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1k63wPiWZBJld6FyYhe529GL3gxuU0_jjAXc2xoAJJKY/edit,https://www.youtube.com/watch?v=oivyM1_Pia4,,,,Same way to harvest as Eutrochium maculatum,,,,,,,,,,,
Fragaria virginiana,Virginia strawberry,Fraisier des champs,https://www.wildflower.org/plants/result.php?id_plant=frvi,Full Sun,Part Shade,4,5,Dry,Medium,3,6,"0.25-0.5’ tall, 1-2’ wide",Cold moist 60d,60,Just below surface,,1 - Give in priority,6,6,,,,,,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",Six (6) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=FRAGARIA%20VIRGINIANA,https://docs.google.com/document/d/1UdCrJAgGNiNxa3qkJDoki7ZeyNy8G-Ss-PsfhxsQSRE/edit?sharingaction=ownershiptransfer&tab=t.0,,,,Keep seeds in fridge,,,,,,,,,,,,
Fraxinus americana,White ash ,Frêne blanc,https://plants.ces.ncsu.edu/plants/fraxinus-americana/,Full Sun,,4,5,Medium,,720,960,"60-80’ tall, 60-80’ wide",Cold moist 60d,60,⅜”,,1 - Give in priority,9,10,Pods are released from plant,"Open the pod, remove seeds",Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=FRAXINUS%20AMERICANA,https://docs.google.com/document/d/1_BSChAuF7fYSq-U0HIVtOfLFEivPN__4FdoiIYxweac/edit?usp=sharing,,,,Soak for 12h,,,,,,,,,,,,
Fraxinus pennsylvanica,Red ash ,Frêne rouge,https://plants.ces.ncsu.edu/plants/fraxinus-pennsylvanica/,Full Sun,,4,5,Medium,,600,840,"50-70’ tall, 35-50’ wide",Cold moist 60d,60,⅜”,,1 - Give in priority,9,9,Pods are released from plant,"Open the pod, remove seeds",Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=FRAXINUS%20PENNSYLVANICA,https://docs.google.com/document/d/1WBq-5M8cPNjJ-obN41mn-8INWd4HainDyu2RmGSiYpE/edit?usp=sharing,,,,Soak for 24h,Both male and female plants must be grown if seed is required,,,,,,,,,,,
Gaultheria procumbens,Eastern teaberry/Wintergreen,Thé des bois,https://www.wildflower.org/plants/result.php?id_plant=gapr2,Part Shade,Full Shade,6,7,Medium,,3,12,"0.25-0.5’ tall, 0.5-1’ wide",Cold moist 90d,90,Surface,,1 - Give in priority,9,10,Berries are ripen and easily fall off or have fallen off,"Put berries through strainer to separate seeds, then rinse with water",Berry,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=GAULTHERIA%20PROCUMBENS,https://docs.google.com/document/d/1qhyJpIXk58WK1Oys7drRPZE5bl2qMJXYpl5_vuIYORQ/edit?usp=sharing,,,,,"See column J for collection, handling, and storage",,,,,,,,,,,
Gentiana andrewsii,Closed bottle gentian,Gentiane d'Andrews,https://www.prairiemoon.com/gentiana-andrewsii-bottle-gentian-prairie-moon-nursery.html,Full Sun,Part Shade,8,10,Medium,,12,24,"1-2’ tall, 1-2’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",9,11,Pods are open,"Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=GENTIANA%20ANDREWSII,https://docs.google.com/document/d/1DPI9g2uyt6Nhhc73gk8ZSvh9n5KoNJtN9wIjo-VsV7E/edit,https://youtube.com/shorts/hVB1xPgb9n8?si=zUL8OaNrZL8bFZ1o,,,,,1,,,,,,,,,,
Gentianopsis crinita,Greater fringed-gentian ,Gentiane frangée,https://www.prairiemoon.com/gentianopsis-crinita-fringed-gentian-prairie-moon-nursery.html,Full Sun,,8,10,Wet,,8,12,"8-12” tall, 8”-2’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,9,11,Pods are open,"Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=GENTIANOPSIS%20CRINITA,https://docs.google.com/document/d/1IyBGsEDHYKdVXqGnuZBCIPunIzVeEPJtc8XCYqySS0I/edit,,,,,,1,,,,,,,,,,
